Learning Rate,L2 Penalty,Optimizer,Model,Activation_function,epochs,Loss,Epoch
0.01,0.8,SGD,Neural_Network,tanh,,1.2472796440124512,53.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2488352060317993,54.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2484849691390991,55.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2474477291107178,56.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2472232580184937,57.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2466737031936646,58.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2469902038574219,59.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2466528415679932,60.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2460774183273315,61.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2461618185043335,62.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2465749979019165,63.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2471282482147217,64.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2461421489715576,65.0
0.01,0.8,SGD,Neural_Network,tanh,,1.246396780014038,66.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2456004619598389,67.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2454825639724731,68.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2473105192184448,69.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2467623949050903,70.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2455137968063354,71.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2457579374313354,72.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2450040578842163,73.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2448153495788574,74.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2458808422088623,75.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2450454235076904,76.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2446238994598389,77.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2447506189346313,78.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2447811365127563,79.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244502067565918,80.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2452343702316284,81.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244528889656067,82.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244392991065979,83.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2445855140686035,84.0
0.01,0.8,SGD,Neural_Network,tanh,,1.245361089706421,85.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2448865175247192,86.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244114637374878,87.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2444871664047241,88.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244634747505188,89.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2439874410629272,90.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2438349723815918,91.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2438254356384277,92.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2443395853042603,93.0
0.01,0.8,SGD,Neural_Network,tanh,,1.243804931640625,94.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2438609600067139,95.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2441346645355225,96.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2436891794204712,97.0
0.01,0.8,SGD,Neural_Network,tanh,,1.244723916053772,98.0
0.01,0.8,SGD,Neural_Network,tanh,,1.243756651878357,99.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.6284056901931763,0.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.381030559539795,1.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.3280764818191528,2.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2993214130401611,3.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2809768915176392,4.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2694562673568726,5.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2618662118911743,6.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2570210695266724,7.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2539069652557373,8.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.251815915107727,9.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.250597357749939,10.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.249482274055481,11.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.248998999595642,12.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2482836246490479,13.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2478667497634888,14.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.247446060180664,15.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2472114562988281,16.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2469691038131714,17.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2467730045318604,18.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.246377944946289,19.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2461506128311157,20.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2459415197372437,21.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2457879781723022,22.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.245719075202942,23.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2454358339309692,24.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2451988458633423,25.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.245031476020813,26.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.245047926902771,27.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2447036504745483,28.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2445471286773682,29.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2445048093795776,30.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2442686557769775,31.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2442642450332642,32.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2439976930618286,33.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2438699007034302,34.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2438243627548218,35.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2436312437057495,36.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2434953451156616,37.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2435684204101562,38.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.243261694908142,39.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2433574199676514,40.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2430753707885742,41.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2429661750793457,42.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2429118156433105,43.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2427856922149658,44.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2427512407302856,45.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.242660641670227,46.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.242631435394287,47.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2424473762512207,48.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2423536777496338,49.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2422869205474854,50.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.242213249206543,51.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2421647310256958,52.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2420878410339355,53.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.242017149925232,54.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2419843673706055,55.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2419605255126953,56.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.241934895515442,57.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2418508529663086,58.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2417799234390259,59.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2418149709701538,60.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.241695761680603,61.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2416592836380005,62.0
0.01,0.8,SGD,Neural_Network,sigmoid,,1.2416249513626099,63.0
