Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4399338662624359,6.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43981558084487915,7.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4396991729736328,8.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.439584881067276,9.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43947240710258484,10.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4393618702888489,11.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4392532408237457,12.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4391463100910187,13.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4390413463115692,14.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4389379918575287,15.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43883639574050903,16.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43873661756515503,17.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43863847851753235,18.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.438541978597641,19.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43844708800315857,20.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4383538067340851,21.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43826210498809814,22.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43817195296287537,23.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43808332085609436,24.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43799611926078796,25.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43791043758392334,26.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4378262460231781,27.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43774348497390747,28.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4376620054244995,29.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43758198618888855,30.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43750327825546265,31.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4374258518218994,32.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4373498260974884,33.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43727508187294006,34.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43720149993896484,35.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4371292293071747,36.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43705812096595764,37.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43698832392692566,38.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43691954016685486,39.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43685203790664673,40.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43678566813468933,41.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4367204010486603,42.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4366561472415924,43.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4365931451320648,44.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43653106689453125,45.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43647006154060364,46.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43641015887260437,47.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4363512396812439,48.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43629327416419983,49.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43623635172843933,50.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4361802637577057,51.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43612515926361084,52.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4360710382461548,53.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43601781129837036,54.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43596556782722473,55.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43591412901878357,56.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43586352467536926,57.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4358137249946594,58.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.435764878988266,59.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.435716837644577,60.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43566957116127014,61.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4356231093406677,62.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4355774521827698,63.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4355325400829315,64.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43548837304115295,65.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43544504046440125,66.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.43540239334106445,67.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4353603720664978,68.0
